gridid,glat,glon,gpop,vmax_gust,vmax_sust,sust_duration
 5047,  35.4461, -93.8855,  18125,  0.00000,  0.00000,    0
 5049,  36.3768, -91.7649,  12245,  0.00000,  0.00000,    0
 5051,  34.5058, -93.0818,  96024,  0.00000,  0.00000,    0
 5053,  34.3092, -92.4127,  17853,  0.00000,  0.00000,    0
 5055,  36.0731, -90.5230,  42090,  0.00000,  0.00000,    0
 5057,  33.6996, -93.6236,  22609,  0.00000,  0.00000,    0
 5059,  34.3535, -92.8946,  32923,  0.00000,  0.00000,    0
 5061,  33.9832, -93.9102,  13789,  0.00000,  0.00000,    0
 5063,  35.7498, -91.6075,  36647,  0.00000,  0.00000,    0
 5065,  36.1202, -91.9084,  13696,  0.00000,  0.00000,    0
 5067,  35.6211, -91.2462,  17997,  0.00000,  0.00000,    0
 5069,  34.2335, -92.0412,  77435,  0.00000,  0.00000,    0
 5071,  35.4753, -93.4755,  25540,  0.00000,  0.00000,    0
 5073,  33.2876, -93.5576,   7645,  0.00000,  0.00000,    0
 5075,  36.0702, -91.0657,  17415,  0.00000,  0.00000,    0
 5077,  34.7852, -90.7745,  10424,  0.00000,  0.00000,    0
 5079,  33.9754, -91.7462,  14134,  0.00000,  0.00000,    0
 5081,  33.7005, -94.1960,  13171,  0.00000,  0.00000,    0
 5083,  35.2275, -93.7681,  22353,  0.00000,  0.00000,    0
 5085,  34.9052, -91.9706,  68356,  0.00000,  0.00000,    0
 5087,  36.0613, -93.7553,  15717,  0.00000,  0.00000,    0
 5089,  36.2846, -92.6634,  16653,  0.00000,  0.00000,    0
 5091,  33.4008, -93.9875,  43462,  0.00000,  0.00000,    0
 5093,  35.8429, -89.9990,  46480,  0.00000,  0.00000,    0
 5095,  34.7777, -91.2180,   8149,  0.00000,  0.00000,    0
 5097,  34.5170, -93.6227,   9487,  0.00000,  0.00000,    0
 5099,  33.7222, -93.3581,   8997,  0.00000,  0.00000,    0
 5101,  35.9849, -93.1705,   8330,  0.00000,  0.00000,    0
 5103,  33.5745, -92.8389,  26120,  0.00000,  0.00000,    0
 5105,  34.9991, -92.7793,  10445,  0.00000,  0.00000,    0
 5107,  34.5298, -90.7078,  21757,  0.00000,  0.00000,    0
 5109,  34.1873, -93.6248,  11291,  0.00000,  0.00000,    0
 5111,  35.6019, -90.5580,  24583,  0.00000,  0.00000,    0
 5113,  34.5205, -94.2585,  20662,  0.00000,  0.00000,    0
 5115,  35.3098, -93.0972,  61754,  0.00000,  0.00000,    0
 5117,  34.8592, -91.5363,   8715,  0.00000,  0.00000,    0
 5119,  34.7737, -92.3116, 382748,  0.00000,  0.00000,    0
 5121,  36.3048, -90.9884,  17969,  0.00000,  0.00000,    0
 5123,  35.0153, -90.7703,  28258,  0.00000,  0.00000,    0
 5125,  34.5932, -92.5462, 107118,  0.00000,  0.00000,    0
 5127,  34.9071, -94.0959,  11233,  0.00000,  0.00000,    0
 5129,  35.9228, -92.6591,   8195,  0.00000,  0.00000,    0
 5131,  35.3182, -94.3544, 125744,  0.00000,  0.00000,    0
 5133,  34.0142, -94.3041,  17058,  0.00000,  0.00000,    0
 5135,  36.1785, -91.5202,  17264,  0.00000,  0.00000,    0
 5137,  35.8567, -92.1370,  12394,  0.00000,  0.00000,    0
 5139,  33.2069, -92.6451,  41639,  0.00000,  0.00000,    0
 5141,  35.5678, -92.4215,  17295,  0.00000,  0.00000,    0
